time,ph,ntu,ntu3,ntu4,take,supply,pac
2013/8/8 0:00,7.077,10.978,0.845,0.747,9541,7860,NULL
2013/8/8 1:00,7.075,7.674,0.884,0.772,9539,7050,NULL
2013/8/8 2:00,7.079,261.624,0.923,0.867,8996,6110,NULL
2013/8/8 3:00,7.069,7.884,0.681,0.657,5677,5680,NULL
2013/8/8 4:00,7.067,7.759,0.474,0.498,5616,5950,NULL
2013/8/8 5:00,7.06,10.28,0.491,0.535,5578,5970,NULL
2013/8/8 6:00,7.048,12.415,0.393,0.427,5540,5850,NULL
2013/8/8 7:00,7.048,20.565,0.391,0.408,6530,7470,NULL
2013/8/8 8:00,7.043,22.147,0.508,0.432,9410,8510,NULL
2013/8/8 9:00,7.038,19.09,0.552,0.537,9407,9200,NULL
2013/8/8 10:00,7.029,20.889,0.601,0.596,9488,9460,NULL
2013/8/8 11:00,7.025,15.545,0.674,0.667,9709,9160,NULL
2013/8/8 12:00,7.009,21.476,0.65,0.613,9712,8980,NULL
2013/8/8 13:00,6.998,20.774,0.547,0.564,9756,8720,NULL
2013/8/8 14:00,6.997,18.609,0.562,0.589,9731,8290,NULL
2013/8/8 15:00,6.988,15.682,0.562,0.571,9752,8300,NULL
2013/8/8 16:00,6.982,13.86,0.586,0.581,9628,8260,NULL
2013/8/8 17:00,6.985,14.235,0.662,0.676,9667,8570,NULL
2013/8/8 18:00,6.978,16.848,0.637,0.679,9621,8890,NULL
2013/8/8 19:00,6.978,23.277,0.608,0.613,9564,9220,NULL
2013/8/8 20:00,6.97,20.76,0.579,0.601,9572,9140,NULL
2013/8/8 21:00,6.969,28.06,0.596,0.579,9514,8990,NULL
2013/8/8 22:00,6.972,38.437,0.755,0.65,9502,8950,NULL
2013/8/8 23:00,6.968,28.782,0.83,0.752,9511,8950,NULL
2013/8/9 0:00,6.965,20.43,0.821,0.733,9587,8040,NULL
2013/8/9 1:00,6.964,25.448,0.857,0.777,8708,6630,NULL
2013/8/9 2:00,6.958,11.792,0.581,0.618,5689,6490,NULL
2013/8/9 3:00,6.956,11.385,0.493,0.471,5695,6310,NULL
2013/8/9 4:00,6.953,10.817,0.442,0.447,5661,5700,NULL
2013/8/9 5:00,6.951,13.272,0.41,0.425,5623,5630,NULL
2013/8/9 6:00,6.95,15.727,0.381,0.403,5624,6300,NULL
2013/8/9 7:00,6.959,24.432,0.371,0.396,7331,7660,NULL
2013/8/9 8:00,6.952,32.569,0.562,0.518,9535,8590,NULL
2013/8/9 9:00,6.938,25.734,0.54,0.505,9501,9030,NULL
2013/8/9 10:00,6.934,27.76,0.52,0.508,9507,9490,NULL
2013/8/9 11:00,6.936,19.994,0.618,0.584,9600,9510,NULL
2013/8/9 12:00,6.929,20.247,0.647,0.608,9692,9450,NULL
2013/8/9 13:00,6.933,24.272,0.657,0.632,9718,9170,NULL
2013/8/9 14:00,6.93,22.785,0.637,0.667,9751,8530,NULL
2013/8/9 15:00,6.924,18.913,0.654,0.64,9719,8400,NULL
2013/8/9 16:00,6.927,15.798,0.642,0.645,9697,8400,NULL
2013/8/9 17:00,6.93,17.252,0.625,0.618,9688,8870,NULL
2013/8/9 18:00,6.935,24.952,0.662,0.632,9613,9330,NULL
2013/8/9 19:00,6.932,27.308,0.696,0.713,9626,9450,NULL
2013/8/9 20:00,6.931,25.279,0.662,0.703,9541,9470,NULL
2013/8/9 21:00,6.924,26.328,0.681,0.698,9534,9380,NULL
2013/8/9 22:00,6.924,33.877,0.835,0.747,9459,9210,NULL
2013/8/9 23:00,6.935,30.587,0.906,0.811,9472,8890,NULL
2013/8/10 0:00,6.934,23.067,0.894,0.821,9497,8490,NULL
2013/8/10 1:00,6.937,20.477,0.877,0.811,9613,7230,NULL
2013/8/10 2:00,6.931,18.484,0.862,0.83,9611,6570,NULL
2013/8/10 3:00,6.931,18.731,0.855,0.806,9666,6390,NULL
2013/8/10 4:00,6.924,13.485,0.842,0.777,8085,6040,NULL
2013/8/10 5:00,6.925,11.389,0.586,0.618,5607,5990,NULL
2013/8/10 6:00,6.925,13.974,0.503,0.745,5628,6340,NULL
2013/8/10 7:00,6.926,18.646,0.479,0.54,5588,7530,NULL
2013/8/10 8:00,6.929,21.502,0.474,0.518,5569,8540,NULL
2013/8/10 9:00,6.929,28.215,0.452,0.53,8652,9220,NULL
2013/8/10 10:00,6.916,27.588,0.549,0.576,9469,9320,NULL
2013/8/10 11:00,6.912,26.288,0.567,0.567,9533,9340,NULL
2013/8/10 12:00,6.908,19.102,0.662,0.569,9614,9490,NULL
2013/8/10 13:00,6.907,19.936,0.549,0.581,9707,9150,NULL
2013/8/10 14:00,6.908,26.759,0.567,0.613,9705,8520,NULL
2013/8/10 15:00,6.901,23.638,0.591,0.635,9719,9000,NULL
2013/8/10 16:00,6.908,18.428,0.591,0.618,9662,8890,NULL
2013/8/10 17:00,6.909,15.917,0.593,0.628,9691,8890,NULL
2013/8/10 18:00,6.912,17.665,0.606,0.645,9596,8940,NULL
2013/8/10 19:00,6.905,25.489,0.642,0.642,9592,9460,NULL
2013/8/10 20:00,6.909,27.107,0.645,0.706,9590,9400,NULL
2013/8/10 21:00,6.9,24.012,0.694,0.679,9547,9400,NULL
2013/8/10 22:00,6.908,25.815,0.73,0.767,9504,9290,NULL
2013/8/10 23:00,6.913,30.367,0.672,0.694,6371,8690,NULL
2013/8/11 0:00,6.919,26.503,0.923,0.857,4671,8010,NULL
2013/8/11 1:00,6.911,19.279,0.823,0.786,4718,7240,NULL
2013/8/11 2:00,6.912,20.982,0.828,0.801,4735,6580,NULL
2013/8/11 3:00,6.913,24.351,0.786,0.781,4748,6320,NULL
2013/8/11 4:00,6.909,161.315,0.874,0.791,4480,6150,NULL
2013/8/11 5:00,6.904,12.623,0.554,0.591,2712,5850,NULL
2013/8/11 6:00,6.901,11.755,0.488,0.53,2700,6350,NULL
2013/8/11 7:00,6.909,15.904,0.54,0.608,2698,7270,NULL
2013/8/11 8:00,6.909,27.36,0.449,0.547,2687,8120,NULL
2013/8/11 9:00,6.902,20.666,0.508,0.657,3890,8750,NULL
2013/8/11 10:00,6.905,21.727,0.571,0.637,4667,9170,NULL
2013/8/11 11:00,6.901,22.673,0.571,0.586,4670,9190,NULL
2013/8/11 12:00,6.902,21.649,0.574,0.601,4693,9260,NULL
2013/8/11 13:00,6.893,13.905,0.62,0.664,4772,8780,NULL
2013/8/11 14:00,6.895,16.937,0.611,0.642,4820,8060,NULL
2013/8/11 15:00,6.89,19.846,0.713,0.806,4837,8170,NULL
2013/8/11 16:00,6.894,17.913,0.667,0.701,4834,8140,NULL
2013/8/11 17:00,6.895,14.901,0.662,0.669,4826,8380,NULL
2013/8/11 18:00,6.919,14.767,0.674,0.701,4806,8410,NULL
2013/8/11 19:00,6.909,18.392,0.698,0.767,4793,9000,NULL
2013/8/11 20:00,6.903,23.395,0.662,0.684,4720,9150,NULL
2013/8/11 21:00,6.902,23.381,0.703,0.698,4689,9380,NULL
2013/8/11 22:00,6.893,24.932,0.747,0.698,4669,9220,NULL
2013/8/11 23:00,6.891,26.941,0.816,0.737,4665,8760,NULL
2013/8/12 0:00,6.887,31.611,0.928,0.84,4667,7850,NULL
2013/8/12 1:00,6.889,18.599,0.811,0.808,3273,6500,NULL
2013/8/12 2:00,6.898,15.325,0.525,0.811,2704,6210,NULL
2013/8/12 3:00,6.896,18.755,0.488,0.523,2720,6080,NULL
2013/8/12 4:00,6.888,16.46,0.476,0.52,2721,6010,NULL
2013/8/12 5:00,6.892,14.497,0.481,0.488,2718,5870,NULL
2013/8/12 6:00,6.894,13.435,0.41,0.479,2712,6080,NULL
2013/8/12 7:00,6.89,16.54,0.393,0.452,3354,7440,NULL
2013/8/12 8:00,6.895,21.547,0.625,0.593,4686,8660,NULL
